country,source_url,page_title,purpose,topic,visa_type,entry_type,title,summary,eligibility,required_documents,min_income_threshold,min_education_level,min_age,max_age,required_language_test,min_language_score,points_required,mandatory_prerequisites,total_estimated_cost,cost_currency,processing_time_days_min,processing_time_days_max,pr_pathway_available,pr_pathway_years,last_verified_date,application_process,processing_time,application_fee,validity,official_links,important_notes,extra_information
Germany,https://www.auswaertiges-amt.de/en/visa-service/au-pair,Au-Pair Visa | German Federal Foreign Office,work,Au-Pair Cultural Exchange,Au-Pair Visa,overview,Germany Au-Pair Visa,"The Au-Pair Visa allows young people to live with a German host family for up to one year, assisting with childcare and household tasks in exchange for accommodation, meals, and pocket money. Basic German language skills are typically required.","[""Age between 18 and 26"", ""Basic German language skills (usually A1)"", ""Signed au-pair placement agreement with host family"", ""Not married and no children""]","[""Passport"", ""Au-pair contract/agreement"", ""Language certificate (A1)"", ""Health insurance"", ""Host family invitation letter"", ""Biometric photo""]","{""threshold_type"": ""not_applicable"", ""value"": null, ""unit"": null, ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""Host family provides pocket money, accommodation and meals rather than a salary""}",none,18,26,Goethe-Zertifikat,A1,,"[""au_pair_agreement""]",75,EUR,15,45,FALSE,,15/01/2025,"[""Find host family and sign au-pair agreement"", ""Obtain basic A1 German certificate"", ""Apply for national visa at German mission"", ""Enter Germany and register with local authorities""]",3-6 weeks,EUR 75,"Up to 1 year, non-extendable","[""https://www.auswaertiges-amt.de/en/visa-service/au-pair""]","[""Cannot be extended beyond 12 months"", ""Pocket money typically around EUR 280/month plus board and lodging""]",{}
Germany,https://www.make-it-in-germany.com/en/visa-residence/types/job-seeker-visa,Job Seeker Visa | Make it in Germany,work,Job Search Immigration,Job Seeker Visa,detailed,Germany Job Seeker Visa for Qualified Professionals,The Job Seeker Visa permits qualified professionals with a recognized degree to travel to Germany for up to six months to search for employment matching their qualifications. It does not permit employment during the search period except in specific circumstances.,"[""University degree recognized in Germany or equivalent professional qualification"", ""Sufficient financial resources for the stay"", ""Health insurance coverage"", ""No permission to work during job search period (limited exceptions)""]","[""Passport"", ""Degree certificate and recognition proof"", ""Proof of financial means (blocked account)"", ""Health insurance"", ""CV and motivation letter"", ""Biometric photo""]","{""threshold_type"": ""fixed_numeric"", ""value"": 12324.0, ""unit"": ""EUR_per_year"", ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""Blocked account requirement for 6-month job search period""}",bachelor,,,,,,"[""qualification_recognition"", ""proof_of_funds""]",75,EUR,20,60,FALSE,,15/01/2025,"[""Get qualification recognition assessment"", ""Open blocked account with sufficient funds"", ""Apply for national visa at German mission abroad"", ""Enter Germany to search for qualifying employment"", ""Convert to work visa upon securing a job offer""]",4-8 weeks,EUR 75,"Up to 6 months, non-renewable, non-extendable","[""https://www.make-it-in-germany.com/en/visa-residence/types/job-seeker-visa""]","[""Largely superseded in practice by the Opportunity Card, which allows part-time work"", ""Cannot work during the search period except limited trial work""]",{}
Germany,https://www.make-it-in-germany.com/en/visa-residence/types/skilled-workers,Visa for Qualified Professionals (Skilled Worker Visa) | Make it in Germany,work,Skilled Worker Immigration,Skilled Worker Visa,detailed,Germany Skilled Worker Employment Visa,"The Skilled Worker Visa allows non-EU nationals with vocational or academic qualifications recognized in Germany to take up a concrete job offer. It covers a broader range of professions than the EU Blue Card and has no fixed minimum salary threshold, only that pay matches standard local terms.","[""Recognized vocational or academic qualification"", ""Concrete job offer matching qualification"", ""Salary in line with standard terms for the profession"", ""Health insurance""]","[""Passport"", ""Qualification recognition certificate"", ""Employment contract or binding job offer"", ""Proof of salary"", ""Health insurance"", ""Biometric photo""]","{""threshold_type"": ""case_by_case"", ""value"": null, ""unit"": null, ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""No fixed minimum; salary must match standard local/collective terms for the occupation""}",bachelor,,,,,,"[""qualification_recognition"", ""job_offer_letter""]",100,EUR,30,90,TRUE,4,15/01/2025,"[""Get foreign qualification recognized"", ""Secure a job offer matching qualification"", ""Apply for national visa at German mission abroad"", ""Enter Germany and register address"", ""Apply for residence permit for qualified employment""]",4-12 weeks,"EUR 75 (visa), EUR 100 (residence permit)",Up to 4 years or duration of contract,"[""https://www.make-it-in-germany.com/en/visa-residence/types/skilled-workers""]","[""Broader eligibility than EU Blue Card, covers vocational qualifications too"", ""Federal Employment Agency approval may be required depending on case""]",{}
USA,https://pk.usembassy.gov/visas/nonimmigrant-visas/,B1/B2 Visitor Visa | U.S. Embassy in Pakistan,tourist,Visitor Visa (Tourism and Business),B1/B2 Visitor Visa,detailed,USA B1/B2 Tourist and Business Visitor Visa,"The B1/B2 Visitor Visa allows foreign nationals to enter the United States temporarily for business (B-1) or tourism, pleasure, and medical treatment (B-2) purposes. Applicants must demonstrate strong ties to their home country and intent to return after a temporary stay.","[""Purpose of trip is temporary business or pleasure"", ""Intent to return to home country after visit"", ""Sufficient funds to cover expenses in the U.S."", ""Valid passport for travel to the U.S.""]","[""Passport valid for at least 6 months beyond intended stay"", ""DS-160 confirmation page"", ""Visa application fee receipt"", ""Photo meeting U.S. visa specifications"", ""Proof of ties to home country (employment, property, family)"", ""Financial statements""]","{""threshold_type"": ""case_by_case"", ""value"": null, ""unit"": null, ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""No fixed amount; consular officer assesses sufficiency of funds and financial stability""}",,,,,,,[],185,USD,3,60,FALSE,,15/01/2025,"[""Complete DS-160 online nonimmigrant visa application"", ""Pay the MRV visa application fee"", ""Schedule visa interview appointment at embassy/consulate"", ""Attend interview and provide biometrics"", ""Await administrative processing if required""]",Varies widely by post; interview wait times can range from days to several months,USD 185 (MRV fee),Typically issued for up to 10 years with multiple entries; each stay limited to up to 6 months,"[""https://travel.state.gov/content/travel/en/us-visas/tourism-visit/visitor.html"", ""https://pk.usembassy.gov/visas/nonimmigrant-visas/""]","[""Visa validity does not guarantee length of stay; that is determined by CBP officer at port of entry"", ""Does not permit employment in the United States"", ""Visa Waiver Program (ESTA) may be an alternative for eligible nationalities""]",{}
USA,https://travel.state.gov/content/travel/en/us-visas/study/student-visa.html,Student Visa | U.S. Department of State,study,Academic Student Immigration,F-1 Student Visa,detailed,USA F-1 Academic Student Visa,The F-1 Visa is for students enrolling in academic programs at SEVP-certified U.S. institutions. Applicants must have a Form I-20 issued by their school and demonstrate sufficient financial resources and intent to depart after completing studies.,"[""Acceptance at a SEVP-certified school"", ""Form I-20 issued by the school"", ""Proof of sufficient funds for tuition and living expenses"", ""Nonimmigrant intent to return home after studies"", ""English proficiency (as required by the institution)""]","[""Passport valid for travel to the U.S."", ""Form I-20"", ""DS-160 confirmation page"", ""SEVIS I-901 fee receipt"", ""Visa application fee receipt"", ""Financial evidence (bank statements, sponsor affidavit)"", ""Academic transcripts and test scores""]","{""threshold_type"": ""case_by_case"", ""value"": null, ""unit"": null, ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""Amount tied to school's published cost of attendance shown on Form I-20""}",none,,,TOEFL,80,,"[""form_i20"", ""sevis_fee_payment""]",510,USD,14,90,TRUE,6,15/01/2025,"[""Get accepted by SEVP-certified school and receive Form I-20"", ""Pay SEVIS I-901 fee"", ""Complete DS-160 application"", ""Pay visa application fee"", ""Schedule and attend visa interview"", ""Enter U.S. up to 30 days before program start date""]",2-12 weeks depending on post and administrative processing,USD 185 (MRV fee) + USD 350 (SEVIS I-901 fee),"Duration of academic program (duration of status), visa stamp typically valid up to 5 years","[""https://travel.state.gov/content/travel/en/us-visas/study/student-visa.html"", ""https://www.ice.gov/sevis""]","[""On-campus work limited to 20 hours/week during term"", ""Optional Practical Training (OPT) available for up to 12 months after graduation, 24 months more for STEM fields""]","{""opt_stem_extension_months"": 24}"
USA,https://www.uscis.gov/working-in-the-united-states/h-1b-specialty-occupations,H-1B Specialty Occupations | USCIS,work,Specialty Occupation Skilled Worker Immigration,H-1B Visa,detailed,USA H-1B Specialty Occupation Work Visa,"The H-1B Visa allows U.S. employers to temporarily employ foreign workers in specialty occupations requiring theoretical or technical expertise, typically a bachelor's degree or higher. Selection is subject to an annual lottery due to the statutory cap.","[""Job offer for a specialty occupation from a U.S. employer"", ""Bachelor's degree or higher in a related field (or equivalent experience)"", ""Employer files and wins H-1B cap lottery registration (unless cap-exempt)"", ""Prevailing wage requirements met""]","[""Passport"", ""Form I-129 petition (filed by employer)"", ""Labor Condition Application (LCA) certified by Department of Labor"", ""Academic degree certificates and evaluations"", ""Employment offer letter"", ""DS-160 confirmation page (for visa stamping)""]","{""threshold_type"": ""case_by_case"", ""value"": null, ""unit"": null, ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""Salary must meet Department of Labor prevailing wage for the occupation and location""}",bachelor,,,,,,"[""job_offer_letter"", ""lca_certification"", ""cap_lottery_selection""]",4805,USD,90,240,TRUE,6,15/01/2025,"[""Employer submits electronic registration during annual lottery window"", ""If selected, employer files Labor Condition Application with DOL"", ""Employer files Form I-129 petition with USCIS"", ""Beneficiary applies for visa stamp at U.S. embassy/consulate (if abroad)"", ""Beneficiary enters U.S. and begins employment""]",3-8 months (premium processing available for 15 calendar days for additional fee),"USD 460 (I-129 base fee) + USD 1,500-4,000+ (ACWIA, fraud prevention, asylum fees, employer-paid)","Initial period up to 3 years, extendable to a maximum of 6 years (longer in certain green card processing cases)","[""https://www.uscis.gov/working-in-the-united-states/h-1b-specialty-occupations"", ""https://www.uscis.gov/h-1b-electronic-registration-process""]","[""Subject to annual cap of 65,000 plus 20,000 for U.S. advanced degree holders"", ""Cap-exempt employers include universities and nonprofit research organizations"", ""Spouses (H-4) may qualify for work authorization in certain cases""]","{""annual_cap"": 65000, ""advanced_degree_exemption"": 20000}"
USA,https://www.uscis.gov/working-in-the-united-states/temporary-workers/l-1a-intracompany-transferee-executive-or-manager,L-1 Intracompany Transferee Visa | USCIS,work,Intracompany Executive and Specialized Knowledge Transfer,L-1 Visa,detailed,USA L-1 Intracompany Transferee Visa,"The L-1 Visa enables multinational companies to transfer executives, managers (L-1A), or employees with specialized knowledge (L-1B) from a foreign office to a related U.S. office. Applicants must have worked for the qualifying organization abroad for at least one continuous year within the past three years.","[""Employed abroad by the qualifying organization for at least 1 continuous year in the past 3 years"", ""Transferring to an executive, managerial, or specialized knowledge role"", ""Qualifying relationship between foreign and U.S. entities (parent, subsidiary, affiliate, or branch)""]","[""Passport"", ""Form I-129 petition with L Classification Supplement"", ""Evidence of qualifying corporate relationship"", ""Proof of employment abroad (pay stubs, org charts, job description)"", ""DS-160 confirmation page (for visa stamping)""]","{""threshold_type"": ""not_applicable"", ""value"": null, ""unit"": null, ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": null}",,,,,,,"[""prior_foreign_employment_1yr"", ""qualifying_corporate_relationship""]",460,USD,60,180,TRUE,5,15/01/2025,"[""U.S. employer establishes qualifying relationship with foreign entity"", ""Employer files Form I-129 with L Classification Supplement"", ""USCIS adjudicates petition (premium processing optional)"", ""Beneficiary applies for visa stamp at embassy/consulate if abroad"", ""Beneficiary enters U.S. to begin work""]",2-6 months (premium processing available for 15 calendar days for additional fee),"USD 460 (I-129 base fee), additional fraud prevention fee for certain employers","Up to 3 years initially (1 year for new office petitions), extendable up to 7 years (L-1A) or 5 years (L-1B)","[""https://www.uscis.gov/working-in-the-united-states/temporary-workers/l-1a-intracompany-transferee-executive-or-manager"", ""https://www.uscis.gov/working-in-the-united-states/temporary-workers/l-1b-intracompany-transferee-specialized-knowledge""]","[""L-1A executives/managers can lead to EB-1C green card without labor certification"", ""New office petitions have shorter initial validity of 1 year""]","{""l1a_max_years"": 7, ""l1b_max_years"": 5}"
USA,https://travel.state.gov/content/travel/en/us-visas/immigrate/family-immigration/fiance-visa.html,K-1 Fiancé(e) Visa | U.S. Department of State,family_reunion,Fiancé(e) Immigration,K-1 Fiancé Visa,detailed,USA K-1 Fiancé(e) Visa,"The K-1 Visa allows the foreign-citizen fiancé(e) of a U.S. citizen to travel to the United States to marry within 90 days of arrival. After marriage, the foreign spouse may apply to adjust status to permanent resident.","[""Petitioner is a U.S. citizen (not permanent resident)"", ""Both parties are legally free to marry"", ""Couple has met in person within the past 2 years (limited exceptions)"", ""Genuine intent to marry within 90 days of beneficiary's U.S. entry""]","[""Passport"", ""Form I-129F petition approval notice"", ""DS-160 confirmation page"", ""Evidence of relationship (photos, communication records)"", ""Proof of in-person meeting"", ""Medical examination results"", ""Police certificates from countries of residence""]","{""threshold_type"": ""fixed_numeric"", ""value"": 25550.0, ""unit"": ""USD_per_year"", ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""Petitioner must meet 100% of Federal Poverty Guidelines for household size (Form I-134 sponsorship, 2024 figures)""}",,18,,,,,"[""i129f_petition_approval"", ""proof_of_in_person_meeting""]",865,USD,180,420,TRUE,0,15/01/2025,"[""U.S. citizen petitioner files Form I-129F with USCIS"", ""USCIS approves petition and forwards to National Visa Center"", ""Beneficiary completes DS-160 and gathers civil documents"", ""Attend visa interview at U.S. embassy/consulate"", ""Enter U.S. and marry within 90 days"", ""File Form I-485 to adjust status after marriage""]",6-14 months from petition filing to visa issuance,"USD 675 (I-129F petition) + USD 265 (DS-160/interview fee, approx.)","Single entry, valid for 6 months from issuance; marriage must occur within 90 days of entry","[""https://travel.state.gov/content/travel/en/us-visas/immigrate/family-immigration/fiance-visa.html"", ""https://www.uscis.gov/i-129f""]","[""Marriage must take place within 90 days of entry or beneficiary must depart the U.S."", ""Not renewable or extendable"", ""Leads directly to green card eligibility via adjustment of status after marriage""]",{}
USA,https://travel.state.gov/content/travel/en/us-visas/immigrate/diversity-visa-program-entry.html,Diversity Visa Program | U.S. Department of State,permanent_residency,Diversity Immigrant Visa Lottery,Diversity Visa (DV Lottery),detailed,USA Diversity Visa (DV) Lottery Program,"The Diversity Visa Program grants up to 55,000 immigrant visas annually through a random lottery to individuals from countries with historically low rates of immigration to the United States. Selected applicants must meet education or work experience requirements and complete standard immigrant visa processing.","[""Born in an eligible low-admission country (or qualify through spouse/parent)"", ""High school education or equivalent, OR 2 years of qualifying work experience in the past 5 years"", ""Selected in the random computer-generated lottery drawing"", ""Not otherwise inadmissible under U.S. immigration law""]","[""Passport"", ""DV entry confirmation number"", ""Form DS-260 online immigrant visa application"", ""Birth certificate"", ""High school diploma or work experience evidence"", ""Police certificates"", ""Medical examination results"", ""Photos meeting DV specifications""]","{""threshold_type"": ""not_applicable"", ""value"": null, ""unit"": null, ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""No fixed income requirement, but affidavit of support may be required at visa interview""}",none,18,,,,,"[""dv_lottery_selection"", ""education_or_work_experience_proof""]",330,USD,180,365,TRUE,0,15/01/2025,"[""Submit free electronic DV entry during registration period"", ""Check Entrant Status Check for selection results"", ""If selected, complete Form DS-260 online immigrant visa application"", ""Gather civil documents and complete medical exam"", ""Attend immigrant visa interview at embassy/consulate"", ""Enter U.S. before fiscal year visa expiration to receive green card""]",Selection announced ~8 months after registration; visa issuance must occur within the fiscal year of selection,"USD 330 (DV immigrant visa application fee, paid only if selected)",Immigrant visa valid for single entry within 6 months of issuance; results in permanent residency upon entry,"[""https://travel.state.gov/content/travel/en/us-visas/immigrate/diversity-visa-program-entry.html"", ""https://dvprogram.state.gov/""]","[""Only about 55,000 visas issued annually worldwide via lottery"", ""Selection does not guarantee a visa; must complete all steps before the fiscal year ends"", ""High rate of fraud in unofficial DV lottery websites; only use the official government entry portal""]","{""annual_visa_cap"": 55000}"
USA,https://travel.state.gov/content/travel/en/us-visas/immigrate/family-immigration.html,Family-Based Immigrant Visa | U.S. Department of State,family_reunion,Family-Sponsored Permanent Immigration,Family-Based Immigrant Visa,detailed,USA Family-Based Immigrant Visa (IR/F Categories),"Family-Based Immigrant Visas allow U.S. citizens and lawful permanent residents to sponsor qualifying relatives for permanent residency. Immediate relatives of U.S. citizens face no annual numerical limit, while other family preference categories are subject to per-country caps and often multi-year waiting periods.","[""Qualifying family relationship to a U.S. citizen or lawful permanent resident sponsor"", ""Sponsor meets minimum income requirements (125% of Federal Poverty Guidelines)"", ""Approved Form I-130 petition"", ""Visa number currently available for the applicant's preference category""]","[""Passport"", ""Approved Form I-130 petition notice"", ""Form DS-260 online immigrant visa application"", ""Affidavit of Support (Form I-864)"", ""Birth and marriage certificates establishing relationship"", ""Police certificates"", ""Medical examination results""]","{""threshold_type"": ""fixed_numeric"", ""value"": 26650.0, ""unit"": ""USD_per_year"", ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""125% of Federal Poverty Guidelines for sponsor household size (2024 figures, 48 contiguous states)""}",,,,,,,"[""i130_petition_approval"", ""affidavit_of_support""]",745,USD,365,3650,TRUE,0,15/01/2025,"[""U.S. citizen or LPR sponsor files Form I-130 petition"", ""USCIS approves petition and forwards to National Visa Center"", ""Wait for priority date to become current (varies greatly by category and country)"", ""Complete DS-260 and submit civil documents and Affidavit of Support"", ""Attend immigrant visa interview at embassy/consulate"", ""Enter U.S. as lawful permanent resident""]",1-2 years for immediate relatives; 2-20+ years for preference categories depending on country and category,USD 535 (I-130 filing fee) + USD 325 (DS-260 processing) + USD 120 (Affidavit of Support review),Immigrant visa valid for single entry within 6 months; results in permanent residency upon entry,"[""https://travel.state.gov/content/travel/en/us-visas/immigrate/family-immigration.html"", ""https://www.uscis.gov/i-130""]","[""Immediate relatives (spouses, unmarried minor children, parents of U.S. citizens) are not subject to annual numerical caps"", ""F1, F2, F3, F4 preference categories are subject to per-country visa caps and backlogs"", ""Visa Bulletin published monthly shows current priority dates by category and country""]","{""categories"": [""IR (Immediate Relative)"", ""F1 (Unmarried adult children of citizens)"", ""F2 (Spouses/children of LPRs)"", ""F3 (Married children of citizens)"", ""F4 (Siblings of citizens)""]}"
USA,https://www.uscis.gov/working-in-the-united-states/permanent-workers/employment-based-immigration-first-preference-eb-1,Employment-Based Immigration: First Preference EB-1 | USCIS,permanent_residency,Priority Worker Employment-Based Green Card,EB-1 Immigrant Visa,detailed,USA EB-1 Priority Worker Green Card,"The EB-1 category is for priority workers, including individuals with extraordinary ability, outstanding professors/researchers, and multinational executives or managers. Most EB-1 subcategories do not require labor certification (PERM), enabling comparatively faster processing than other employment-based categories.","[""Extraordinary ability in sciences, arts, education, business, or athletics (EB-1A), OR"", ""Outstanding professor or researcher with at least 3 years of experience (EB-1B), OR"", ""Multinational executive or manager transferred to a U.S. entity (EB-1C)"", ""Sustained national or international acclaim (for EB-1A) evidenced by specific criteria""]","[""Passport"", ""Form I-140 petition"", ""Evidence of extraordinary ability or qualifying employment (awards, publications, judging experience, media coverage)"", ""Employer job offer letter (required for EB-1B and EB-1C, not required for EB-1A self-petition)"", ""Form I-485 or DS-260 for final step""]","{""threshold_type"": ""not_applicable"", ""value"": null, ""unit"": null, ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": null}",master,,,,,,"[""evidence_of_extraordinary_ability_or_qualifying_role""]",715,USD,180,730,TRUE,0,15/01/2025,"[""Gather evidence of extraordinary ability or qualifying role"", ""File Form I-140 petition (self-petition allowed for EB-1A)"", ""Await priority date to become current per Visa Bulletin"", ""File Form I-485 (if in U.S.) or complete consular processing via DS-260"", ""Attend interview if required and receive green card decision""]",6-24 months depending on service center workload and priority date backlogs,"USD 715 (I-140 filing fee) + USD 1,440 (I-485 filing fee, if applicable)","Permanent residency (green card), renewable every 10 years","[""https://www.uscis.gov/working-in-the-united-states/permanent-workers/employment-based-immigration-first-preference-eb-1""]","[""No PERM labor certification required for any EB-1 subcategory"", ""EB-1A allows self-petition without an employer sponsor"", ""Priority dates can retrogress for applicants born in India and China""]","{""subcategories"": [""EB-1A Extraordinary Ability"", ""EB-1B Outstanding Professor/Researcher"", ""EB-1C Multinational Executive/Manager""]}"
USA,https://www.uscis.gov/working-in-the-united-states/permanent-workers/employment-based-immigration-second-preference-eb-2,Employment-Based Immigration: Second Preference EB-2 | USCIS,permanent_residency,Advanced Degree Professional Employment-Based Green Card,EB-2 Immigrant Visa,detailed,USA EB-2 Advanced Degree / Exceptional Ability Green Card,"The EB-2 category covers professionals holding an advanced degree (or bachelor's degree plus 5 years progressive experience) or individuals of exceptional ability in the sciences, arts, or business. It generally requires a PERM labor certification unless the applicant qualifies for a National Interest Waiver.","[""Advanced degree (master's or higher), or bachelor's degree plus 5 years of progressive post-baccalaureate experience"", ""Exceptional ability in sciences, arts, or business, OR"", ""National Interest Waiver justification if self-petitioning without a job offer"", ""Job offer and approved PERM labor certification (unless NIW applies)""]","[""Passport"", ""Approved PERM labor certification (ETA Form 9089), unless NIW"", ""Form I-140 petition"", ""Degree certificates and credential evaluations"", ""Employer job offer letter (unless NIW self-petition)"", ""Form I-485 or DS-260 for final step""]","{""threshold_type"": ""case_by_case"", ""value"": null, ""unit"": null, ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""Offered wage must meet or exceed the PERM-certified prevailing wage for the position""}",master,,,,,,"[""perm_labor_certification_or_niw"", ""job_offer_letter""]",715,USD,365,1460,TRUE,0,15/01/2025,"[""Employer obtains PERM labor certification from Department of Labor (unless NIW)"", ""Employer or self-petitioner files Form I-140 petition"", ""Await priority date to become current per Visa Bulletin"", ""File Form I-485 (if in U.S.) or complete consular processing via DS-260"", ""Attend interview if required and receive green card decision""]",1-4 years including PERM processing and priority date backlogs (longer for India-born applicants),"USD 715 (I-140 filing fee) + USD 1,440 (I-485 filing fee, if applicable), PERM filing has no government fee","Permanent residency (green card), renewable every 10 years","[""https://www.uscis.gov/working-in-the-united-states/permanent-workers/employment-based-immigration-second-preference-eb-2""]","[""National Interest Waiver allows self-petition without employer sponsorship or labor certification"", ""Significant backlogs exist for applicants born in India due to per-country caps"", ""PERM process alone can take 12+ months before I-140 filing""]","{""niw_available"": true}"
USA,https://www.uscis.gov/working-in-the-united-states/permanent-workers/employment-based-immigration-third-preference-eb-3,Employment-Based Immigration: Third Preference EB-3 | USCIS,permanent_residency,Skilled Worker and Professional Employment-Based Green Card,EB-3 Immigrant Visa,detailed,"USA EB-3 Skilled Worker, Professional, and Other Worker Green Card","The EB-3 category covers skilled workers (minimum 2 years experience or training), professionals with a bachelor's degree, and other workers performing unskilled labor. It requires an approved PERM labor certification and a permanent, full-time job offer from a U.S. employer.","[""Bachelor's degree for the professional subcategory, OR at least 2 years of experience/training for skilled workers, OR unskilled labor position for 'other workers'"", ""Approved PERM labor certification"", ""Permanent, full-time job offer from a U.S. employer"", ""Offered wage meets prevailing wage determination""]","[""Passport"", ""Approved PERM labor certification (ETA Form 9089)"", ""Form I-140 petition"", ""Degree certificates or evidence of experience/training"", ""Employer job offer letter"", ""Form I-485 or DS-260 for final step""]","{""threshold_type"": ""case_by_case"", ""value"": null, ""unit"": null, ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""Offered wage must meet or exceed the PERM-certified prevailing wage for the position""}",bachelor,,,,,,"[""perm_labor_certification"", ""job_offer_letter""]",715,USD,365,1825,TRUE,0,15/01/2025,"[""Employer obtains PERM labor certification from Department of Labor"", ""Employer files Form I-140 petition on behalf of employee"", ""Await priority date to become current per Visa Bulletin"", ""File Form I-485 (if in U.S.) or complete consular processing via DS-260"", ""Attend interview if required and receive green card decision""]",1-5+ years including PERM processing and priority date backlogs (longer for India and China-born applicants),"USD 715 (I-140 filing fee) + USD 1,440 (I-485 filing fee, if applicable), PERM filing has no government fee","Permanent residency (green card), renewable every 10 years","[""https://www.uscis.gov/working-in-the-united-states/permanent-workers/employment-based-immigration-third-preference-eb-3""]","[""'Other workers' subcategory subject to a smaller annual visa allocation and longer waits"", ""Bachelor's degree equivalency evaluations required for foreign degrees"", ""Substantial backlogs for India and China-born applicants due to per-country caps""]","{""subcategories"": [""Skilled Worker"", ""Professional"", ""Other Worker""]}"
Australia,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/visitor-600,Visitor Visa (Subclass 600) | Department of Home Affairs,tourist,Short-Stay Tourism and Business Visits,Visitor Visa (Subclass 600),detailed,Australia Visitor Visa (Subclass 600),"The Visitor Visa (Subclass 600) allows tourism, family visit, or business visitor stays of up to 3, 6, or 12 months, depending on the stream and country of passport. Applicants must show genuine visitor intent, sufficient funds, and health/character requirements.","[""Genuine intention to visit temporarily for tourism, business, or family purposes"", ""Sufficient funds to support the stay"", ""Meets health and character requirements"", ""No intention to work (except limited business visitor activities)""]","[""Valid passport"", ""Completed online application (ImmiAccount)"", ""Evidence of financial capacity (bank statements, payslips)"", ""Travel itinerary"", ""Evidence of ties to home country (employment, family)"", ""Invitation letter (if visiting family/friends)""]","{""threshold_type"": ""case_by_case"", ""value"": null, ""unit"": null, ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""No fixed amount; case officer assesses sufficiency of funds relative to length and nature of stay""}",,,,,,,[],195,AUD,20,60,FALSE,,15/01/2025,"[""Create ImmiAccount online"", ""Complete Subclass 600 application form"", ""Upload supporting documents"", ""Pay visa application charge"", ""Undergo health/character checks if requested"", ""Await outcome via ImmiAccount""]","20-60 days depending on stream (Tourist, Sponsored Family, Business Visitor)",AUD 195 (Tourist stream base application charge),"Stay period of up to 3, 6, or 12 months per entry; visa itself can be valid for multiple entries over 12 months","[""https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/visitor-600""]","[""Does not permit employment in Australia"", ""Sponsored Family stream requires an eligible Australian sponsor"", ""Processing times vary significantly by applicant's country of passport""]","{""streams"": [""Tourist"", ""Sponsored Family"", ""Business Visitor"", ""Approved Destination Status""]}"
Australia,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/work-holiday-417,Working Holiday Visa (Subclass 417) | Department of Home Affairs,work,Working Holiday Cultural Exchange,Working Holiday Visa (Subclass 417),detailed,Australia Working Holiday Visa (Subclass 417),The Working Holiday Visa (Subclass 417) allows young people from eligible partner countries to holiday in Australia for up to 12 months with the ability to work and study to supplement their travel funds. Extensions are possible for a second and third year subject to specified regional work.,"[""Passport from an eligible Working Holiday Maker partner country"", ""Aged 18 to 30 (up to 35 for some nationalities)"", ""No dependent children accompanying the applicant"", ""Sufficient funds for the initial part of the stay (approximately AUD 5,000 recommended)"", ""Meets health and character requirements""]","[""Valid passport"", ""Completed online application (ImmiAccount)"", ""Evidence of funds (bank statement)"", ""Evidence of onward travel intent (in some cases)"", ""Health examination results (if requested)""]","{""threshold_type"": ""fixed_numeric"", ""value"": 5000.0, ""unit"": ""AUD_lump_sum"", ""points_required"": null, ""verified"": false, ""source_url"": null, ""effective_date"": null, ""notes"": ""Recommended minimum funds to demonstrate ability to support the initial stay; not a strict legal requirement""}",,18,30,,,,[],650,AUD,14,45,FALSE,,15/01/2025,"[""Confirm nationality eligibility for the 417 program"", ""Create ImmiAccount and submit online application"", ""Pay visa application charge"", ""Provide health examination if requested"", ""Enter Australia within 12 months of grant""]",2-6 weeks,AUD 650,12 months from date of first entry; second and third year extensions available with qualifying specified work,"[""https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/work-holiday-417""]","[""Work with a single employer generally limited to 6 months unless an exemption applies"", ""Second-year extension requires 3 months of specified regional/agricultural work"", ""Cannot bring dependent children on this visa""]","{""max_consecutive_years"": 3}"
